#mpirun -np 2 --map-by node --mca pml ucx --mca btl ^uct -x UCX_NET_DEVICES=mlx5_0:1 ./IMB-MPI1 PingPong -msglog 28
#lambda[usec] (computed) -> 3.71, bandwidth[Mbytes/sec] (computed) -> 12179.31
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] (computed),Mbytes/sec (computed)
0,1000,0.99,0.0,3.71,0.0
1,1000,0.98,1.02,3.71,0.27
2,1000,0.99,2.02,3.71,0.54
4,1000,0.99,4.04,3.71,1.08
8,1000,0.98,8.13,3.72,2.15
16,1000,0.99,16.17,3.72,4.31
32,1000,1.01,31.82,3.72,8.61
64,1000,1.15,55.48,3.72,17.21
128,1000,1.19,107.19,3.72,34.36
256,1000,1.84,149.23,3.74,68.53
512,1000,1.49,343.25,3.76,136.3
1024,1000,1.65,619.08,3.8,269.58
2048,1000,2.32,884.38,3.88,527.49
4096,1000,3.2,1282.46,4.05,1011.2
8192,1000,4.47,1831.38,4.39,1867.38
16384,1000,6.28,2610.6,5.06,3238.33
32768,1000,8.46,3874.41,6.4,5116.48
65536,640,12.38,5291.75,9.09,7206.18
131072,320,18.63,7034.76,14.47,9055.41
262144,160,32.74,8006.24,25.23,10388.32
524288,80,54.21,9671.92,46.75,11213.62
1048576,40,97.45,10760.23,89.79,11677.47
2097152,20,182.19,11510.89,175.88,11924.1
4194304,10,352.67,11893.16,348.04,12051.36
8388608,5,694.21,12083.7,692.36,12116.01
16777216,2,1380.0,12157.42,1381.0,12148.6
33554432,1,2757.96,12166.42,2758.29,12164.96
67108864,1,5503.35,12194.2,5512.86,12173.15
134217728,1,11012.55,12187.71,11022.0,12177.26
268435456,1,22047.26,12175.46,22040.29,12179.31
