#mpirun -np 2 --map-by node --mca pml ob1 --mca btl self,tcp ./IMB-MPI1 PingPong -msglog 28
#lambda[usec] (computed) -> 15.62, bandwidth[Mbytes/sec] (computed) -> 2038.15
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] (computed),Mbytes/sec (computed)
0,1000,15.88,0.0,15.62,0.0
1,1000,15.93,0.06,15.62,0.06
2,1000,15.91,0.12,15.62,0.13
4,1000,15.91,0.25,15.62,0.26
8,1000,15.92,0.5,15.63,0.51
16,1000,15.95,1.0,15.63,1.02
32,1000,15.97,2.0,15.64,2.05
64,1000,16.03,3.99,15.65,4.09
128,1000,16.56,7.73,15.69,8.16
256,1000,16.46,15.56,15.75,16.26
512,1000,16.75,30.57,15.87,32.25
1024,1000,17.22,59.48,16.13,63.5
2048,1000,38.86,52.71,16.63,123.17
4096,1000,39.39,104.01,17.63,232.3
8192,1000,40.19,203.83,19.64,417.08
16384,1000,42.07,389.55,23.66,692.47
32768,1000,50.98,645.58,31.7,1033.75
65536,640,80.61,813.04,47.77,1371.81
131072,320,140.66,932.28,79.92,1639.95
262144,160,207.52,1263.43,144.23,1817.59
524288,80,325.98,1608.95,272.83,1921.67
1048576,40,538.93,1947.07,530.04,1978.31
2097152,20,963.02,2178.68,1044.45,2007.9
4194304,10,1991.4,2106.93,2073.28,2023.03
8388608,5,4136.42,2028.96,4130.93,2030.68
16777216,2,8333.79,2014.06,8246.23,2034.53
33554432,1,16557.5,2027.98,16476.85,2036.46
67108864,1,32949.33,2038.12,32938.07,2037.43
134217728,1,65867.56,2040.98,65860.52,2037.91
268435456,1,128793.86,2085.4,131705.41,2038.15
