#mpirun -np 2 --map-by node --mca pml ucx --mca btl ^uct -x UCX_NET_DEVICES=mlx5_0:1 ./IMB-MPI1 PingPong -msglog 28
#lambda[usec] (computed) -> 1.53, bandwidth[Mbytes/sec] (computed) -> 12178.97
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] (computed),Mbytes/sec (computed)
0,1000,1.37,0.0,1.53,0.0
1,1000,1.36,0.73,1.53,0.65
2,1000,1.36,1.47,1.53,1.31
4,1000,1.37,2.93,1.53,2.62
8,1000,1.37,5.86,1.53,5.23
16,1000,1.37,11.68,1.53,10.45
32,1000,1.4,22.89,1.53,20.89
64,1000,1.69,37.95,1.53,41.71
128,1000,1.73,74.1,1.54,83.13
256,1000,2.29,117.51,1.55,165.13
512,1000,2.07,246.85,1.57,325.84
1024,1000,2.3,445.59,1.61,634.7
2048,1000,2.98,687.19,1.7,1206.53
4096,1000,3.97,1033.43,1.87,2195.57
8192,1000,5.52,1482.72,2.2,3720.47
16384,1000,7.32,2238.65,2.87,5699.85
32768,1000,10.03,3267.78,4.22,7765.6
65536,640,14.51,4517.57,6.91,9484.24
131072,320,23.51,5574.81,12.29,10664.33
262144,160,33.27,7880.32,23.05,11371.8
524288,80,55.84,9389.96,44.57,11761.94
1048576,40,98.93,10598.73,87.62,11967.23
2097152,20,185.97,11276.99,173.71,12072.59
4194304,10,355.55,11796.56,345.89,12125.96
8388608,5,697.92,12019.55,690.26,12152.83
16777216,2,1384.46,12118.24,1378.99,12166.3
33554432,1,2764.77,12136.44,2756.45,12173.05
67108864,1,5517.17,12163.66,5511.37,12176.43
134217728,1,11030.96,12167.37,11021.22,12178.12
268435456,1,22076.06,12159.58,22040.91,12178.97
