#mpirun -np 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,2 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER mlx ./IMB-MPI1 PingPong -msglog 28
#lambda[usec] (computed) -> -53.67, bandwidth[Mbytes/sec] (computed) -> 6290.61
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] (computed),Mbytes/sec (computed)
0,1000,0.25,0.0,-53.67,-0.0
1,1000,0.24,4.08,-53.67,-0.02
2,1000,0.24,8.14,-53.67,-0.04
4,1000,0.25,16.24,-53.67,-0.07
8,1000,0.24,32.53,-53.67,-0.15
16,1000,0.24,65.05,-53.67,-0.3
32,1000,0.29,109.6,-53.67,-0.6
64,1000,0.29,220.15,-53.66,-1.19
128,1000,0.38,337.18,-53.65,-2.39
256,1000,0.42,610.89,-53.63,-4.77
512,1000,0.46,1111.11,-53.59,-9.55
1024,1000,0.59,1735.08,-53.51,-19.14
2048,1000,0.84,2445.13,-53.35,-38.39
4096,1000,1.21,3384.83,-53.02,-77.25
8192,1000,1.98,4146.43,-52.37,-156.43
16384,1000,3.66,4471.35,-51.06,-320.86
32768,1000,4.42,7424.6,-48.46,-676.25
65536,640,6.04,10846.3,-43.24,-1515.63
131072,320,8.37,15660.05,-32.81,-3995.02
262144,160,12.47,21026.4,-11.95,-21943.1
524288,80,23.57,22256.07,29.78,17606.46
1048576,40,49.73,21087.58,113.23,9260.79
2097152,20,135.41,15487.65,280.13,7486.45
4194304,10,301.03,13934.74,613.92,6831.96
8388608,5,893.03,9393.6,1281.52,6545.83
16777216,2,2349.9,7140.09,2616.71,6411.57
33554432,1,5339.0,6284.96,5287.09,6346.48
67108864,1,10621.63,6318.21,10627.85,6314.43
134217728,1,21457.32,6255.3,21309.37,6298.53
268435456,1,42628.53,6297.14,42672.41,6290.61
