#mpirun -np 2 -f /var/spool/pbs/aux/58653.login.hpc ./IMB-MPI1 PingPong -msglog 28
#lambda[usec] (computed) -> 1.34, bandwidth[Mbytes/sec] (computed) -> 12235.85
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] (computed),Mbytes/sec (computed)
0,1000,1.2,0.0,1.34,0.0
1,1000,1.19,0.84,1.34,0.75
2,1000,1.19,1.68,1.34,1.5
4,1000,1.2,3.34,1.34,3.0
8,1000,1.19,6.71,1.34,5.99
16,1000,1.19,13.39,1.34,11.97
32,1000,1.23,26.13,1.34,23.92
64,1000,1.46,44.07,1.34,47.75
128,1000,1.51,85.06,1.35,95.12
256,1000,1.97,134.78,1.36,188.78
512,1000,1.85,276.73,1.38,371.82
1024,1000,2.05,501.13,1.42,721.71
2048,1000,2.76,742.32,1.5,1363.03
4096,1000,3.6,1139.35,1.67,2452.84
8192,1000,4.6,1784.56,2.0,4086.53
16384,1000,6.29,2605.61,2.67,6126.91
32768,1000,9.78,3355.5,4.01,8165.38
65536,640,12.85,5103.01,6.69,9794.78
131072,320,21.81,6010.69,12.05,10880.37
262144,160,32.87,7976.67,22.76,11518.7
524288,80,56.2,9335.47,44.18,11866.8
1048576,40,97.81,10720.89,87.03,12048.86
2097152,20,183.63,11420.69,172.72,12142.0
4194304,10,354.48,11832.55,344.1,12189.11
8388608,5,697.42,12028.17,686.87,12212.81
16777216,2,1383.81,12124.03,1372.4,12224.69
33554432,1,2755.58,12177.0,2743.47,12230.64
67108864,1,5498.14,12205.79,5485.61,12233.61
134217728,1,10975.8,12228.56,10969.89,12235.1
268435456,1,21962.95,12222.22,21938.44,12235.85
