#mpirun -np 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER mlx ~/mpi-benchmarks/src_c/IMB-MPI1 PingPong -msglog 28
#lambda[usec] (computed) -> 0.48, bandwidth[Mbytes/sec] (computed) -> 4286.94
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] (computed),Mbytes/sec (computed)
0,1000,0.43,0.0,0.48,0.0
1,1000,0.43,2.32,0.48,2.06
2,1000,0.43,4.61,0.49,4.12
4,1000,0.43,9.21,0.49,8.24
8,1000,0.43,18.61,0.49,16.44
16,1000,0.43,36.96,0.49,32.76
32,1000,0.47,68.64,0.49,65.02
64,1000,0.47,136.17,0.5,128.1
128,1000,0.57,224.22,0.51,248.76
256,1000,0.61,418.22,0.54,470.23
512,1000,0.81,628.23,0.6,847.5
1024,1000,0.89,1152.31,0.72,1415.23
2048,1000,1.05,1944.2,0.96,2127.96
4096,1000,1.48,2773.81,1.44,2844.15
8192,1000,1.96,4183.27,2.4,3419.6
16384,1000,3.26,5025.94,4.31,3804.47
32768,1000,5.04,6503.49,8.13,4031.34
65536,640,9.12,7184.29,15.77,4155.23
131072,320,17.75,7386.58,31.06,4220.07
262144,160,33.98,7714.48,61.63,4253.26
524288,80,81.78,6410.96,122.78,4270.05
1048576,40,166.18,6309.78,245.08,4278.49
2097152,20,329.8,6358.81,489.68,4282.73
4194304,10,655.07,6402.85,978.87,4284.85
8388608,5,1366.41,6139.28,1957.25,4285.91
16777216,2,3814.53,4398.52,3914.02,4286.44
33554432,1,7773.94,4316.29,7827.56,4286.7
67108864,1,15563.23,4312.03,15654.63,4286.84
134217728,1,31220.08,4299.09,31308.78,4286.9
268435456,1,62354.04,4305.03,62617.08,4286.94
