#mpirun -np 2 -ppn 1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER mlx ./IMB-MPI1 PingPong -msglog 28
#lambda[usec] (computed) -> 1.34, bandwidth[Mbytes/sec] (computed) -> 12216.62
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] (computed),Mbytes/sec (computed)
0,1000,1.21,0.0,1.34,0.0
1,1000,1.21,0.83,1.34,0.75
2,1000,1.21,1.65,1.34,1.49
4,1000,1.21,3.31,1.34,2.99
8,1000,1.21,6.62,1.34,5.97
16,1000,1.21,13.23,1.34,11.93
32,1000,1.24,25.75,1.34,23.84
64,1000,1.49,43.08,1.34,47.59
128,1000,1.54,83.43,1.35,94.81
256,1000,1.8,141.92,1.36,188.16
512,1000,1.89,271.19,1.38,370.62
1024,1000,2.09,489.5,1.42,719.41
2048,1000,2.81,727.71,1.51,1358.8
4096,1000,3.67,1115.23,1.67,2445.61
8192,1000,4.72,1735.13,2.01,4075.42
16384,1000,6.4,2559.14,2.68,6112.02
32768,1000,9.81,3339.8,4.02,8147.87
65536,640,12.91,5075.33,6.7,9776.03
131072,320,21.98,5964.99,12.07,10861.2
262144,160,32.68,8022.54,22.8,11499.44
524288,80,55.6,9433.34,44.25,11847.53
1048576,40,97.64,10740.08,87.17,12029.61
2097152,20,183.83,11408.91,172.99,12122.76
4194304,10,354.73,11823.89,344.65,12169.88
8388608,5,698.15,12015.59,687.95,12193.58
16777216,2,1385.05,12113.18,1374.57,12205.46
33554432,1,2757.13,12170.14,2747.79,12211.41
67108864,1,5500.66,12200.19,5494.25,12214.39
134217728,1,10995.83,12206.26,10987.15,12215.88
268435456,1,21952.76,12227.96,21972.97,12216.62
