time,nprocs
3.1E-06,2
7.63E-06,4
1.128E-05,6
1.521E-05,8
1.907E-05,10
2.273E-05,12
2.664E-05,14
3.063E-05,16
3.422E-05,18
3.834E-05,20
4.262E-05,22
4.695E-05,24
7.931E-05,26
8.585E-05,28
9.177E-05,30
9.849E-05,32
0.00010442,34
0.00010883,36
0.00011663,38
0.00012417,40
0.00012816,42
0.00013539,44
0.00014302,46
0.0001469,48
