time,nprocs
7.85E-06,2
1.651E-05,4
2.392E-05,6
3.345E-05,8
3.991E-05,10
5.044E-05,12
5.564E-05,14
6.756E-05,16
7.229E-05,18
8.424E-05,20
8.961E-05,22
0.00010237,24
0.00010675,26
0.00011974,28
0.00012341,30
0.00013863,32
0.00013999,34
0.00015419,36
0.00015745,38
0.00017307,40
0.00017622,42
0.00019075,44
0.00019512,46
0.00021939,48
