#mpirun -np 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,2 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER mlx ./IMB-MPI1 PingPong -msglog 28
#lambda[usec] (computed) -> -41.99, bandwidth[Mbytes/sec] (computed) -> 6137.7
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] (computed),Mbytes/sec (computed)
0,1000,0.31,0.0,-41.99,-0.0
1,1000,0.31,3.27,-41.99,-0.02
2,1000,0.31,6.45,-41.99,-0.05
4,1000,0.31,12.94,-41.99,-0.1
8,1000,0.31,26.1,-41.99,-0.19
16,1000,0.31,52.14,-41.98,-0.38
32,1000,0.38,85.75,-41.98,-0.76
64,1000,0.37,172.35,-41.98,-1.52
128,1000,0.48,268.88,-41.97,-3.05
256,1000,0.5,511.08,-41.94,-6.1
512,1000,0.59,873.65,-41.9,-12.22
1024,1000,0.69,1498.21,-41.82,-24.49
2048,1000,0.93,2220.68,-41.65,-49.17
4096,1000,1.3,3149.0,-41.32,-99.13
8192,1000,2.06,3989.46,-40.65,-201.52
16384,1000,4.22,3908.99,-39.31,-416.74
32768,1000,5.07,6494.07,-36.64,-894.26
65536,640,6.83,9636.46,-31.3,-2093.88
131072,320,9.28,14278.42,-20.61,-6359.35
262144,160,14.64,18150.1,0.76,342753.03
524288,80,26.9,19733.79,43.52,12048.09
1048576,40,61.86,17090.59,129.02,8127.29
2097152,20,160.32,13183.8,300.03,6989.92
4194304,10,348.42,12123.41,642.04,6532.81
8388608,5,993.62,8472.84,1326.06,6325.96
16777216,2,2606.43,6453.57,2694.11,6227.38
33554432,1,5600.02,6007.1,5430.2,6179.23
67108864,1,10877.55,6169.55,10902.39,6155.43
134217728,1,21810.81,6154.31,21846.76,6143.6
268435456,1,43760.26,6144.35,43735.51,6137.7
