#mpirun -np 2 -ppn 1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER tcp ./IMB-MPI1 PingPong -msglog 28
#lambda[usec] (computed) -> -104.42, bandwidth[Mbytes/sec] (computed) -> 4315.08
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] (computed),Mbytes/sec (computed)
0,1000,0.68,0.0,-104.42,-0.0
1,1000,0.67,1.49,-104.42,-0.01
2,1000,0.68,2.94,-104.42,-0.02
4,1000,0.67,6.02,-104.42,-0.04
8,1000,0.68,11.7,-104.42,-0.08
16,1000,0.67,23.81,-104.42,-0.15
32,1000,0.7,45.6,-104.42,-0.31
64,1000,0.7,91.72,-104.41,-0.61
128,1000,0.72,177.41,-104.39,-1.23
256,1000,0.69,368.86,-104.36,-2.45
512,1000,1.19,430.39,-104.3,-4.91
1024,1000,1.27,805.24,-104.19,-9.83
2048,1000,1.38,1486.36,-103.95,-19.7
4096,1000,1.82,2248.73,-103.47,-39.59
8192,1000,2.35,3485.64,-102.52,-79.9
16384,1000,3.54,4633.53,-100.62,-162.83
32768,1000,5.4,6061.86,-96.82,-338.45
65536,640,9.33,7026.66,-89.21,-734.62
131072,320,15.23,8607.4,-74.0,-1771.31
262144,160,27.94,9383.91,-43.57,-6016.49
524288,80,68.09,7701.16,17.28,30337.75
1048576,40,131.56,7970.29,138.99,7544.42
2097152,20,256.95,8164.63,382.4,5484.22
4194304,10,506.17,8286.59,869.22,4825.37
8388608,5,1059.86,7914.89,1842.86,4551.95
16777216,2,2353.19,7130.22,3790.15,4426.54
33554432,1,7857.9,4270.47,7684.71,4366.39
67108864,1,15660.13,4285.49,15473.85,4336.92
134217728,1,31472.23,4264.79,31052.13,4322.34
268435456,1,62051.11,4326.09,62208.68,4315.08
