2.67566303100 2.66030680300 1.26115723400 2.52596328200  12019999.9905  645.821233832
2.63926369300 2.62198515800 1.26186407000 2.51257619700  1999999.99999  654.728060930
2.62939108900 2.61362617400 1.26511274100 2.51844868500  425925.925796  657.186375670
2.62598991900 2.59224754800 1.26161966600 2.51874163100  126543.209847  658.037560425
2.65117955100 2.63999717400 1.26111680000 2.52213290100  51826.1316865  651.785353183
2.65019775500 2.63892434600 1.26496708400 2.52566896300  26702.1350983  652.026814505
2.64632245000 2.63160972400 1.26260416000 2.51882378900  15893.9988843  652.981650063
2.65430750600 2.64713370500 1.26263910500 2.52387014600  10378.2429902  651.017260093
2.66196739900 2.64699818000 1.26311243200 2.52820737900  7222.26330360  649.143937919
2.65227820100 2.64567627100 1.26302802400 2.52715620700  5266.18987001  651.515364922
