#mpirun -np 2 --map-by node --mca pml ob1 --mca btl self,tcp ./IMB-MPI1 PingPong -msglog 28
#lambda[usec] (computed) -> 85.68, bandwidth[Mbytes/sec] (computed) -> 2657.56
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] (computed),Mbytes/sec (computed)
0,1000,16.32,0.0,85.68,0.0
1,1000,16.37,0.06,85.68,0.01
2,1000,16.36,0.12,85.68,0.02
4,1000,16.34,0.24,85.68,0.05
8,1000,16.37,0.49,85.68,0.09
16,1000,16.37,0.98,85.68,0.19
32,1000,16.41,1.95,85.69,0.37
64,1000,16.45,3.9,85.7,0.75
128,1000,16.87,7.6,85.73,1.49
256,1000,17.08,15.0,85.77,2.98
512,1000,17.4,29.47,85.87,5.96
1024,1000,17.93,57.16,86.06,11.9
2048,1000,39.33,52.08,86.45,23.69
4096,1000,39.73,103.12,87.22,46.96
8192,1000,40.74,201.13,88.76,92.3
16384,1000,42.92,381.84,91.84,178.4
32768,1000,51.59,637.99,98.0,334.38
65536,640,61.52,1066.41,110.32,594.07
131072,320,116.57,1127.07,134.96,971.22
262144,160,158.16,1665.59,184.24,1422.88
524288,80,237.02,2224.72,282.79,1853.97
1048576,40,384.2,2766.88,479.91,2184.96
2097152,20,717.44,2960.22,874.14,2399.12
4194304,10,1506.44,2811.61,1662.59,2522.75
8388608,5,3277.79,2585.97,3239.51,2589.47
16777216,2,6638.57,2550.23,6393.34,2624.17
33554432,1,13160.44,2574.77,12701.0,2641.87
67108864,1,26320.58,2572.29,25316.32,2650.81
134217728,1,50922.51,2652.33,50546.95,2655.31
268435456,1,100499.62,2702.19,101008.23,2657.56
