#mpirun -np 2 --map-by socket --mca pml ob1 --mca btl self, ./IMB-MPI1 PingPong -msglog 28
#lambda[usec] (computed) -> 33.91, bandwidth[Mbytes/sec] (computed) -> 3273.46
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] (computed),Mbytes/sec (computed)
0,1000,7.99,0.0,33.91,0.0
1,1000,8.11,0.12,33.91,0.03
2,1000,8.08,0.25,33.91,0.06
4,1000,8.09,0.49,33.92,0.12
8,1000,8.08,0.99,33.92,0.24
16,1000,8.08,1.98,33.92,0.47
32,1000,8.09,3.96,33.92,0.94
64,1000,8.11,7.89,33.93,1.89
128,1000,8.51,15.04,33.95,3.77
256,1000,8.54,29.99,33.99,7.53
512,1000,8.59,59.62,34.07,15.03
1024,1000,9.67,105.96,34.23,29.92
2048,1000,9.11,224.75,34.54,59.29
4096,1000,10.95,373.99,35.17,116.48
8192,1000,11.64,704.03,36.42,224.96
16384,1000,15.75,1040.15,38.92,420.99
32768,1000,25.84,1267.85,43.92,746.08
65536,640,57.6,1137.83,53.93,1215.28
131072,320,80.73,1623.57,73.94,1772.71
262144,160,122.69,2136.68,113.96,2300.26
524288,80,195.41,2683.1,194.01,2702.36
1048576,40,324.24,3233.96,354.11,2961.17
2097152,20,616.77,3400.26,674.3,3110.1
4194304,10,1203.45,3485.26,1314.69,3190.33
8388608,5,2399.87,3495.46,2595.47,3232.02
16777216,2,5209.38,3220.61,5157.02,3253.28
33554432,1,10669.36,3144.99,10280.13,3264.01
67108864,1,21220.76,3162.77,20526.35,3269.4
134217728,1,40774.98,3292.29,41018.78,3272.1
268435456,1,81908.42,3277.5,82003.64,3273.46
