#mpirun -np 2 --map-by socket --mca pml ob1 --mca btl self, ./IMB-MPI1 PingPong -msglog 28
#lambda[usec] (computed) -> -75.26, bandwidth[Mbytes/sec] (computed) -> 3516.8
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] (computed),Mbytes/sec (computed)
0,1000,0.55,0.0,-75.26,-0.0
1,1000,0.58,1.73,-75.26,-0.01
2,1000,0.57,3.48,-75.26,-0.03
4,1000,0.58,6.96,-75.26,-0.05
8,1000,0.58,13.91,-75.26,-0.11
16,1000,0.62,25.65,-75.26,-0.21
32,1000,0.71,45.14,-75.25,-0.43
64,1000,0.8,80.41,-75.25,-0.85
128,1000,0.9,142.12,-75.23,-1.7
256,1000,1.02,252.69,-75.19,-3.4
512,1000,1.23,415.91,-75.12,-6.82
1024,1000,1.42,720.38,-74.97,-13.66
2048,1000,1.67,1230.86,-74.68,-27.42
4096,1000,2.61,1570.61,-74.1,-55.28
8192,1000,3.26,2517.05,-72.93,-112.32
16384,1000,3.75,4383.78,-70.6,-232.07
32768,1000,4.86,6749.49,-65.94,-496.96
65536,640,6.45,10166.88,-56.61,-1157.66
131072,320,10.37,12644.87,-37.96,-3453.16
262144,160,17.94,14617.23,-0.65,-403216.8
524288,80,38.1,13761.57,73.96,7088.44
1048576,40,100.22,10464.59,223.19,4698.1
2097152,20,238.86,8782.92,521.65,4020.25
4194304,10,488.41,8590.02,1118.56,3749.74
8388608,5,1219.83,6880.4,2312.38,3627.69
16777216,2,4028.74,4168.71,4700.03,3569.6
33554432,1,10103.0,3327.97,9475.32,3541.24
67108864,1,19687.23,3409.96,19025.91,3527.24
134217728,1,38697.58,3468.43,38127.08,3520.27
268435456,1,75889.01,3537.26,76329.42,3516.8
