#mpirun -np 2 --map-by core --mca pml ob1 --mca btl self, ./IMB-MPI1 PingPong -msglog 28
#lambda[usec] (computed) -> 9.63, bandwidth[Mbytes/sec] (computed) -> 5122.11
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] (computed),Mbytes/sec (computed)
0,1000,5.0,0.0,9.63,0.0
1,1000,5.09,0.2,9.63,0.1
2,1000,5.09,0.39,9.63,0.21
4,1000,5.09,0.79,9.63,0.42
8,1000,5.09,1.57,9.63,0.83
16,1000,5.08,3.15,9.63,1.66
32,1000,5.08,6.3,9.63,3.32
64,1000,5.1,12.57,9.64,6.64
128,1000,5.16,24.86,9.65,13.26
256,1000,5.19,49.39,9.68,26.45
512,1000,5.25,97.5,9.73,52.63
1024,1000,5.87,174.69,9.83,104.19
2048,1000,5.61,365.43,10.03,204.23
4096,1000,6.5,630.07,10.43,392.8
8192,1000,6.95,1179.26,11.23,729.65
16384,1000,9.11,1800.26,12.83,1277.37
32768,1000,14.52,2258.44,16.02,2044.88
65536,640,30.3,2164.39,22.42,2923.02
131072,320,44.56,2942.98,35.21,3722.26
262144,160,62.59,4190.85,60.8,4311.74
524288,80,97.43,5381.17,111.97,4682.51
1048576,40,163.16,6426.76,214.31,4892.89
2097152,20,320.6,6541.28,418.98,5005.32
4194304,10,662.01,6336.17,828.34,5063.5
8388608,5,1557.82,5384.94,1647.05,5093.1
16777216,2,3391.18,4963.63,3284.48,5108.03
33554432,1,6654.51,5042.68,6559.32,5115.53
67108864,1,13403.45,5009.78,13109.02,5119.29
134217728,1,26331.97,5097.18,26208.41,5121.17
268435456,1,52259.61,5136.87,52407.19,5122.11
