#mpirun -np 2 --map-by core --mca pml ob1 --mca btl self, ./IMB-MPI1 PingPong -msglog 28
#lambda[usec] (computed) -> -19.87, bandwidth[Mbytes/sec] (computed) -> 4205.33
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] (computed),Mbytes/sec (computed)
0,1000,0.27,0.0,-19.87,-0.0
1,1000,0.28,3.53,-19.87,-0.05
2,1000,0.28,7.16,-19.87,-0.1
4,1000,0.28,14.28,-19.87,-0.2
8,1000,0.28,28.27,-19.87,-0.4
16,1000,0.29,54.72,-19.87,-0.81
32,1000,0.29,108.97,-19.86,-1.61
64,1000,0.32,198.96,-19.85,-3.22
128,1000,0.38,336.59,-19.84,-6.45
256,1000,0.44,585.84,-19.81,-12.92
512,1000,0.61,841.06,-19.75,-25.93
1024,1000,0.68,1515.18,-19.63,-52.18
2048,1000,0.81,2531.88,-19.38,-105.67
4096,1000,1.68,2444.51,-18.89,-216.78
8192,1000,2.0,4086.57,-17.92,-457.13
16384,1000,2.52,6502.64,-15.97,-1025.81
32768,1000,3.55,9226.08,-12.07,-2713.81
65536,640,5.52,11879.2,-4.28,-15311.75
131072,320,9.64,13601.88,11.31,11590.29
262144,160,17.64,14940.57,42.49,6170.05
524288,80,37.54,13968.89,104.84,5000.74
1048576,40,99.2,10571.72,229.55,4567.9
2097152,20,236.24,8878.33,478.98,4378.41
4194304,10,557.04,7531.2,977.82,4289.44
8388608,5,1681.86,4988.95,1975.51,4246.3
16777216,2,3939.69,4260.03,3970.89,4225.06
33554432,1,8245.34,4071.98,7961.64,4214.51
67108864,1,16470.69,4080.11,15943.15,4209.26
134217728,1,32309.05,4156.3,31906.17,4206.64
268435456,1,63483.68,4230.2,63832.21,4205.33
