#mpirun -np 2 --map-by core --mca pml ob1 --mca btl self, ./IMB-MPI1 PingPong -msglog 28
#lambda[usec] (computed) -> 5.5, bandwidth[Mbytes/sec] (computed) -> 5213.82
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] (computed),Mbytes/sec (computed)
0,1000,5.39,0.0,5.5,0.0
1,1000,5.48,0.18,5.5,0.18
2,1000,5.49,0.36,5.5,0.36
4,1000,5.48,0.73,5.5,0.73
8,1000,5.49,1.46,5.5,1.46
16,1000,5.48,2.92,5.5,2.91
32,1000,5.49,5.83,5.5,5.82
64,1000,5.5,11.64,5.51,11.62
128,1000,5.58,22.93,5.52,23.19
256,1000,5.61,45.62,5.54,46.17
512,1000,5.66,90.51,5.59,91.53
1024,1000,6.31,162.35,5.69,179.91
2048,1000,6.13,334.02,5.89,347.81
4096,1000,7.14,574.04,6.28,652.12
8192,1000,7.6,1078.53,7.07,1159.27
16384,1000,9.78,1674.85,8.64,1896.83
32768,1000,16.02,2045.03,11.78,2781.74
65536,640,30.47,2150.66,18.06,3628.02
131072,320,43.26,3030.16,30.63,4278.9
262144,160,61.6,4255.98,55.77,4700.55
524288,80,95.91,5466.73,106.04,4944.15
1048576,40,163.04,6431.18,206.59,5075.67
2097152,20,305.98,6855.18,407.68,5144.09
4194304,10,600.96,6979.76,809.87,5178.99
8388608,5,1483.63,5654.12,1614.24,5196.62
16777216,2,3206.68,5231.98,3222.99,5205.48
33554432,1,6450.24,5202.05,6440.48,5209.92
67108864,1,12900.09,5202.21,12875.47,5212.15
134217728,1,25682.27,5226.09,25745.45,5213.26
268435456,1,50960.51,5267.53,51485.4,5213.82
