#mpirun -np 2 --map-by node --mca pml ucx --mca btl ^uct -x UCX_NET_DEVICES=mlx5_0:1 ./IMB-MPI1 PingPong -msglog 28
#lambda[usec] (computed) -> 1.06, bandwidth[Mbytes/sec] (computed) -> 12187.99
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] (computed),Mbytes/sec (computed)
0,1000,0.98,0.0,1.06,0.0
1,1000,0.98,1.02,1.06,0.94
2,1000,0.99,2.01,1.06,1.89
4,1000,0.99,4.03,1.06,3.77
8,1000,0.99,8.09,1.06,7.54
16,1000,0.99,16.19,1.06,15.07
32,1000,1.0,31.95,1.06,30.1
64,1000,1.15,55.68,1.07,60.05
128,1000,1.19,107.38,1.07,119.51
256,1000,1.42,180.49,1.08,236.7
512,1000,1.49,343.77,1.1,464.39
1024,1000,1.65,620.07,1.14,894.69
2048,1000,2.31,887.38,1.23,1667.01
4096,1000,3.19,1284.27,1.4,2932.89
8192,1000,4.48,1827.88,1.73,4728.09
16384,1000,6.29,2603.91,2.4,6813.24
32768,1000,8.5,3856.51,3.75,8740.6
65536,640,12.39,5288.93,6.44,10180.57
131072,320,18.74,6995.65,11.81,11094.45
262144,160,32.67,8022.87,22.57,11615.8
524288,80,54.64,9598.12,44.08,11895.3
1048576,40,97.52,10753.18,87.09,12040.15
2097152,20,182.99,11460.97,173.12,12113.91
4194304,10,352.67,11892.8,345.18,12151.12
8388608,5,694.58,12077.39,689.3,12169.82
16777216,2,1382.06,12139.26,1377.53,12179.19
33554432,1,2758.28,12164.98,2754.0,12183.88
67108864,1,5511.93,12175.22,5506.94,12186.23
134217728,1,11021.18,12178.16,11012.83,12187.4
268435456,1,22049.69,12174.12,22024.6,12187.99
