#mpirun -np 2 --map-by core --mca pml ob1 --mca btl self, ./IMB-MPI1 PingPong -msglog 28
#lambda[usec] (computed) -> 0.31, bandwidth[Mbytes/sec] (computed) -> 4472.75
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] (computed),Mbytes/sec (computed)
0,1000,0.25,0.0,0.31,0.0
1,1000,0.28,3.55,0.31,3.26
2,1000,0.28,7.14,0.31,6.52
4,1000,0.28,14.19,0.31,13.02
8,1000,0.28,28.68,0.31,25.96
16,1000,0.3,53.08,0.31,51.62
32,1000,0.3,107.58,0.31,102.06
64,1000,0.34,191.77,0.32,199.56
128,1000,0.39,332.69,0.34,382.08
256,1000,0.46,560.7,0.36,704.02
512,1000,0.62,828.74,0.42,1216.55
1024,1000,0.72,1435.86,0.54,1912.83
2048,1000,0.87,2353.81,0.76,2679.67
4096,1000,1.77,2315.95,1.22,3351.46
8192,1000,2.12,3871.3,2.14,3831.77
16384,1000,2.68,6106.94,3.97,4127.53
32768,1000,3.87,8484.36,7.63,4293.23
65536,640,5.36,12218.89,14.96,4381.16
131072,320,10.58,12389.15,29.61,4426.5
262144,160,18.92,13861.52,58.92,4449.52
524288,80,38.39,13663.23,117.52,4461.12
1048576,40,90.03,11656.93,234.74,4466.94
2097152,20,208.11,10086.2,469.18,4469.86
4194304,10,433.5,9684.6,938.05,4471.32
8388608,5,1497.19,5605.21,1875.79,4472.05
16777216,2,3692.0,4545.53,3751.27,4472.41
33554432,1,7451.71,4504.3,7502.23,4472.59
67108864,1,14926.92,4497.23,15004.15,4472.69
134217728,1,29877.09,4493.73,30008.0,4472.73
268435456,1,59845.98,4487.61,60015.7,4472.75
