#mpirun -np 2 -ppn 1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER tcp ./IMB-MPI1 PingPong -msglog 28
#lambda[usec] (computed) -> 8.43, bandwidth[Mbytes/sec] (computed) -> 2687.74
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] (computed),Mbytes/sec (computed)
0,1000,8.37,0.0,8.43,0.0
1,1000,8.3,0.12,8.43,0.12
2,1000,8.29,0.24,8.43,0.24
4,1000,8.23,0.49,8.43,0.47
8,1000,8.22,0.97,8.43,0.95
16,1000,8.31,1.93,8.44,1.9
32,1000,8.29,3.87,8.44,3.79
64,1000,8.3,7.72,8.45,7.57
128,1000,8.39,15.27,8.48,15.1
256,1000,8.37,30.58,8.52,30.03
512,1000,10.51,48.73,8.62,59.4
1024,1000,10.67,95.97,8.81,116.23
2048,1000,13.37,153.61,9.19,222.83
4096,1000,14.67,279.74,9.95,411.53
8192,1000,16.42,499.38,11.48,713.79
16384,1000,25.83,634.87,14.52,1128.03
32768,1000,36.24,904.18,20.62,1589.15
65536,640,60.27,1087.51,32.81,1997.42
131072,320,111.33,1177.46,57.19,2291.8
262144,160,136.87,1916.46,105.95,2474.13
524288,80,234.18,2239.5,203.48,2576.62
1048576,40,440.71,2380.07,398.53,2631.12
2097152,20,845.21,2484.21,788.63,2659.24
4194304,10,1554.52,2724.59,1568.83,2673.53
8388608,5,3378.86,2522.07,3129.23,2680.73
16777216,2,7250.8,2333.07,6250.03,2684.34
33554432,1,12963.92,2618.83,12491.63,2686.15
67108864,1,25615.53,2644.2,24974.83,2687.06
134217728,1,49675.35,2734.21,49941.23,2687.51
268435456,1,100708.23,2698.94,99874.02,2687.74
