#mpirun -np 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER tcp ~/mpi-benchmarks/src_c/IMB-MPI1 PingPong -msglog 28
#lambda[usec] (computed) -> 0.72, bandwidth[Mbytes/sec] (computed) -> 4207.96
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] (computed),Mbytes/sec (computed)
0,1000,0.67,0.0,0.72,0.0
1,1000,0.67,1.49,0.72,1.39
2,1000,0.67,2.97,0.72,2.78
4,1000,0.66,6.02,0.72,5.57
8,1000,0.67,11.86,0.72,11.12
16,1000,0.67,23.82,0.72,22.17
32,1000,0.7,45.98,0.73,44.11
64,1000,0.7,91.75,0.73,87.31
128,1000,0.73,176.28,0.75,171.07
256,1000,0.71,362.8,0.78,328.78
512,1000,1.16,442.65,0.84,609.91
1024,1000,1.25,821.52,0.96,1065.4
2048,1000,1.36,1502.85,1.2,1700.3
4096,1000,1.77,2310.07,1.69,2421.97
8192,1000,2.31,3539.08,2.66,3074.42
16384,1000,3.53,4649.88,4.61,3552.99
32768,1000,5.61,5852.81,8.5,3852.85
65536,640,9.37,6998.88,16.29,4022.61
131072,320,15.39,8515.29,31.87,4113.22
262144,160,29.03,9029.88,63.01,4160.07
524288,80,68.37,7669.37,125.31,4183.9
1048576,40,133.42,7859.36,249.9,4195.92
2097152,20,259.06,8095.59,499.09,4201.95
4194304,10,513.17,8173.55,997.46,4204.98
8388608,5,1082.43,7755.31,1994.21,4206.49
16777216,2,2366.62,7090.51,3987.69,4207.25
33554432,1,7929.72,4231.54,7974.67,4207.63
67108864,1,15866.73,4229.59,15948.63,4207.81
134217728,1,31722.73,4230.98,31896.53,4207.91
268435456,1,62589.43,4288.84,63792.35,4207.96
