#mpirun -np 2 -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ~./IMB-MPI1 PingPong -msglog 28
#lambda[usec] (computed) -> 0.53, bandwidth[Mbytes/sec] (computed) -> 4209.24
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] (computed),Mbytes/sec (computed)
0,1000,0.47,0.0,0.53,0.0
1,1000,0.48,2.08,0.53,1.87
2,1000,0.48,4.2,0.53,3.74
4,1000,0.48,8.41,0.54,7.47
8,1000,0.48,16.88,0.54,14.92
16,1000,0.48,33.66,0.54,29.73
32,1000,0.51,62.51,0.54,59.05
64,1000,0.5,128.67,0.55,116.46
128,1000,0.6,214.8,0.56,226.64
256,1000,0.63,404.22,0.6,430.13
512,1000,0.95,538.35,0.66,780.5
1024,1000,0.99,1031.53,0.78,1316.83
2048,1000,1.13,1814.9,1.02,2006.08
4096,1000,1.59,2578.46,1.51,2717.19
8192,1000,2.08,3941.52,2.48,3302.52
16384,1000,3.51,4666.53,4.43,3701.17
32768,1000,5.35,6123.52,8.32,3938.9
65536,640,9.3,7051.55,16.1,4069.6
131072,320,15.31,8563.44,31.67,4138.26
262144,160,28.47,9215.35,62.81,4173.46
524288,80,68.04,7706.2,125.09,4191.29
1048576,40,133.31,7865.93,249.65,4200.26
2097152,20,261.1,8035.41,498.76,4204.76
4194304,10,512.37,8186.31,996.98,4207.02
8388608,5,1059.39,7918.45,1993.42,4208.15
16777216,2,2300.81,7292.04,3986.31,4208.71
33554432,1,8014.7,4187.91,7972.08,4208.99
67108864,1,15879.18,4226.25,15943.63,4209.13
134217728,1,31691.6,4235.13,31886.73,4209.2
268435456,1,62835.9,4272.01,63772.93,4209.24
