#mpirun -np 2 -ppn 1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER mlx ./IMB-MPI1 PingPong -msglog 28
#lambda[usec] (computed) -> 1.45, bandwidth[Mbytes/sec] (computed) -> 12196.08
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] (computed),Mbytes/sec (computed)
0,1000,1.34,0.0,1.45,0.0
1,1000,1.35,0.74,1.45,0.69
2,1000,1.35,1.48,1.45,1.38
4,1000,1.34,2.97,1.45,2.75
8,1000,1.34,5.96,1.45,5.5
16,1000,1.35,11.88,1.45,11.0
32,1000,1.36,23.48,1.46,21.98
64,1000,1.56,41.1,1.46,43.87
128,1000,1.62,79.16,1.46,87.43
256,1000,1.87,137.29,1.47,173.61
512,1000,1.95,262.86,1.5,342.35
1024,1000,2.13,481.08,1.54,666.01
2048,1000,2.79,735.51,1.62,1263.05
4096,1000,3.57,1146.97,1.79,2289.06
8192,1000,4.57,1791.25,2.13,3854.69
16384,1000,6.32,2591.64,2.8,5858.02
32768,1000,10.4,3151.41,4.14,7914.7
65536,640,13.33,4916.89,6.83,9599.91
131072,320,22.41,5849.95,12.2,10743.69
262144,160,33.47,7832.26,22.95,11424.26
524288,80,56.28,9318.11,44.44,11797.93
1048576,40,98.56,10638.84,87.42,11994.09
2097152,20,184.82,11347.03,173.4,12094.64
4194304,10,354.38,11835.67,345.34,12145.54
8388608,5,697.09,12033.84,689.22,12171.16
16777216,2,1383.07,12130.53,1376.99,12184.01
33554432,1,2765.02,12135.38,2752.52,12190.44
67108864,1,5513.41,12171.96,5503.59,12193.66
134217728,1,11012.61,12187.71,11005.72,12195.27
268435456,1,21956.25,12225.95,22009.99,12196.08
