#mpirun -np 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,2 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER tcp ./IMB-MPI1 PingPong -msglog 28
#lambda[usec] (computed) -> -7.5, bandwidth[Mbytes/sec] (computed) -> 5243.08
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] (computed),Mbytes/sec (computed)
0,1000,4.92,0.0,-7.5,-0.0
1,1000,4.95,0.2,-7.5,-0.13
2,1000,4.94,0.41,-7.5,-0.27
4,1000,4.94,0.81,-7.5,-0.53
8,1000,4.94,1.62,-7.49,-1.07
16,1000,4.94,3.24,-7.49,-2.14
32,1000,4.94,6.48,-7.49,-4.27
64,1000,4.96,12.91,-7.48,-8.55
128,1000,4.98,25.73,-7.47,-17.13
256,1000,5.0,51.18,-7.45,-34.38
512,1000,6.69,76.56,-7.4,-69.21
1024,1000,6.82,150.26,-7.3,-140.27
2048,1000,7.09,288.95,-7.11,-288.24
4096,1000,7.8,525.37,-6.71,-610.03
8192,1000,8.59,954.63,-5.93,-1380.73
16384,1000,15.13,1083.61,-4.37,-3748.83
32768,1000,22.89,1433.13,-1.25,-26317.65
65536,640,40.57,1616.38,5.01,13092.6
131072,320,76.39,1717.11,17.51,7486.87
262144,160,54.52,4809.12,42.51,6166.7
524288,80,89.66,5847.86,92.51,5667.06
1048576,40,153.38,6837.53,192.53,5446.42
2097152,20,275.35,7616.45,392.55,5342.42
4194304,10,606.85,6911.92,792.59,5291.89
8388608,5,1452.64,5774.84,1592.68,5266.99
16777216,2,3167.91,5296.01,3192.85,5254.62
33554432,1,6476.97,5180.73,6393.19,5248.46
67108864,1,12894.82,5204.36,12793.88,5245.39
134217728,1,25605.54,5241.81,25595.26,5243.85
268435456,1,51167.02,5246.34,51198.01,5243.08
