#mpirun -np 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER tcp ~/mpi-benchmarks/src_c/IMB-MPI1 PingPong -msglog 28
#lambda[usec] (computed) -> 13.63, bandwidth[Mbytes/sec] (computed) -> 3319.67
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] (computed),Mbytes/sec (computed)
0,1000,8.03,0.0,13.63,0.0
1,1000,8.05,0.12,13.63,0.07
2,1000,8.04,0.25,13.63,0.15
4,1000,8.03,0.5,13.63,0.29
8,1000,8.03,1.0,13.64,0.59
16,1000,8.02,2.0,13.64,1.17
32,1000,8.02,4.0,13.64,2.35
64,1000,8.28,7.74,13.65,4.69
128,1000,8.27,15.49,13.67,9.36
256,1000,8.32,30.78,13.71,18.67
512,1000,10.05,50.97,13.79,37.14
1024,1000,10.23,100.18,13.94,73.45
2048,1000,10.7,191.43,14.25,143.72
4096,1000,12.01,341.24,14.87,275.52
8192,1000,13.32,615.44,16.1,508.82
16384,1000,23.48,698.1,18.57,882.4
32768,1000,34.69,945.47,23.5,1394.26
65536,640,56.89,1152.25,33.37,1963.85
131072,320,103.97,1260.75,53.11,2467.95
262144,160,112.17,2338.27,92.59,2831.34
524288,80,171.82,3051.7,171.54,3056.36
1048576,40,304.11,3448.4,329.45,3182.83
2097152,20,617.69,3395.59,645.26,3250.08
4194304,10,1223.38,3428.86,1276.89,3284.78
8388608,5,2422.02,3464.09,2540.15,3302.41
16777216,2,4990.82,3362.42,5066.67,3311.29
33554432,1,10219.22,3284.03,10119.7,3315.75
67108864,1,20250.85,3314.23,20225.77,3317.99
134217728,1,40731.23,3295.36,40437.9,3319.11
268435456,1,80706.32,3326.36,80862.17,3319.67
